t,open,high,low,close,volume,date_vn
1784876460,1825.91,1828.38,1825.91,1828.02,1000511,2026-07-24
1784876520,1827.84,1827.89,1827.53,1827.62,533142,2026-07-24
1784876580,1827.39,1828.54,1827.39,1828.43,1176438,2026-07-24
1784876640,1828.64,1829.05,1828.49,1829.05,1026333,2026-07-24
1784876700,1828.99,1831.89,1828.96,1831.0,1474219,2026-07-24
1784876760,1831.23,1832.92,1831.23,1832.92,589976,2026-07-24
1784876820,1832.67,1833.61,1831.8,1833.61,997637,2026-07-24
1784876880,1833.86,1834.11,1832.32,1832.32,811009,2026-07-24
1784876940,1833.11,1833.11,1830.42,1830.42,825894,2026-07-24
1784877000,1831.55,1831.55,1829.0,1829.7,786042,2026-07-24
1784877060,1829.76,1830.13,1829.11,1829.72,890395,2026-07-24
1784877120,1829.65,1830.83,1829.65,1830.2,487559,2026-07-24
1784877180,1829.94,1830.58,1829.88,1830.46,659890,2026-07-24
1784877240,1830.4,1831.25,1829.55,1830.6,663888,2026-07-24
1784877300,1830.46,1830.46,1829.27,1829.81,1509429,2026-07-24
1784877360,1829.98,1830.24,1829.53,1829.6,413992,2026-07-24
1784877420,1829.9,1830.95,1829.9,1829.91,1080300,2026-07-24
1784877480,1830.2,1831.13,1829.89,1830.55,956791,2026-07-24
1784877540,1830.88,1831.17,1829.55,1829.59,1708172,2026-07-24
1784877600,1829.71,1832.35,1829.49,1831.4,1412675,2026-07-24
1784877660,1830.87,1832.41,1830.44,1830.97,1998050,2026-07-24
1784877720,1830.21,1830.77,1830.12,1830.24,2640577,2026-07-24
1784877780,1830.76,1830.76,1828.55,1828.55,2504144,2026-07-24
1784877840,1828.91,1829.33,1827.7,1827.7,1912878,2026-07-24
1784877900,1828.68,1828.83,1827.68,1827.68,1808315,2026-07-24
1784877960,1827.84,1827.84,1826.35,1826.72,1468541,2026-07-24
1784878020,1826.79,1826.79,1825.25,1825.9,1768037,2026-07-24
1784878080,1826.24,1827.27,1824.89,1825.98,1746141,2026-07-24
1784878140,1826.56,1826.85,1824.56,1824.56,2321008,2026-07-24
1784878200,1825.13,1825.13,1825.13,1825.13,225943,2026-07-24
1784879100,1826.88,1829.36,1826.88,1829.36,25178020,2026-07-24
1784880300,1829.36,1829.36,1829.36,1829.36,0,2026-07-24
1785117600,1830.32,1830.32,1828.09,1828.09,0,2026-07-27
1785117660,1828.19,1828.19,1828.19,1828.19,0,2026-07-27
1785118500,1829.36,1841.12,1829.36,1839.53,3866738,2026-07-27
1785118560,1839.64,1840.38,1839.06,1839.95,804446,2026-07-27
1785118620,1840.09,1840.14,1838.59,1838.9,681868,2026-07-27
1785118680,1838.71,1838.71,1837.6,1837.9,810572,2026-07-27
1785118740,1837.94,1838.07,1837.18,1838.07,1122190,2026-07-27
1785118800,1838.13,1839.05,1838.0,1838.94,860254,2026-07-27
1785118860,1838.55,1838.55,1837.63,1838.36,785034,2026-07-27
1785118920,1838.48,1838.9,1837.55,1838.11,413163,2026-07-27
1785118980,1838.35,1838.71,1837.87,1838.71,654761,2026-07-27
1785119040,1838.84,1839.91,1838.77,1839.91,664252,2026-07-27
1785119100,1840.83,1845.47,1840.32,1845.47,1551771,2026-07-27
1785119160,1846.08,1846.71,1844.8,1846.71,820398,2026-07-27
1785119220,1846.91,1847.2,1845.77,1846.05,873542,2026-07-27
1785119280,1845.71,1847.21,1845.71,1846.76,583139,2026-07-27
1785119340,1847.4,1847.9,1845.99,1846.13,826881,2026-07-27
1785119400,1846.07,1846.79,1845.4,1845.46,577438,2026-07-27
1785119460,1845.66,1846.13,1845.47,1846.13,753772,2026-07-27
1785119520,1845.97,1846.52,1845.55,1846.39,1040516,2026-07-27
1785119580,1846.39,1846.5,1846.05,1846.24,888728,2026-07-27
1785119640,1846.39,1847.11,1846.39,1847.11,1103090,2026-07-27
1785119700,1846.95,1847.31,1846.59,1847.3,814771,2026-07-27
1785119760,1846.94,1846.94,1846.07,1846.84,730033,2026-07-27
1785119820,1846.74,1846.74,1845.9,1846.49,470004,2026-07-27
1785119880,1846.55,1846.55,1844.18,1845.68,1025279,2026-07-27
1785119940,1845.87,1845.89,1843.93,1844.6,1066397,2026-07-27
1785120000,1844.98,1846.43,1844.98,1846.13,636572,2026-07-27
1785120060,1846.34,1849.03,1846.07,1847.97,859455,2026-07-27
1785120120,1847.78,1849.62,1847.78,1849.23,548327,2026-07-27
