Scope,Ticker,SnapshotTimeBucket,FeatureSet,Model,Rows,UsedFeatureCount,CloseMAEPct,HighMAEPct,LowMAEPct,RangeMAEPct,CloseDirHitPct,SelectionScore
VHM,VHM,PM_LATE,range_micro_volume,ridge,227,67.0,0.8106985861292364,0.6461138572432736,0.627736659824133,0.8773978817732908,48.89867841409692,0.8762766193197375
VIB,VIB,AM_EARLY,price_volume_core,ridge,212,81.0,0.7549820048775441,0.6245952574322714,0.5510015371323627,0.6943125340353817,50.943396226415096,0.7799928059946012
VIB,VIB,AM_LATE,price_volume_core,hist_gbm,276,81.0,0.693543521180238,0.4800039326786364,0.4542787401172682,0.4467716785226574,46.73913043478261,0.6666718639966578
VIB,VIB,PM_EARLY,price_volume_core,hist_gbm,219,81.0,0.6175425570423407,0.40153256136032933,0.3635653950120099,0.3632313454815762,43.83561643835616,0.554757473739478
VIB,VIB,PM_LATE,range_micro_volume,ridge,223,67.0,0.4665061187232673,0.36318417725150876,0.3676635268515922,0.5679573553887437,41.25560538116592,0.6643422099699552
VIC,VIC,AM_EARLY,price_volume_core,ridge,227,81.0,2.010518284534941,1.4247452311344535,1.298766745671109,1.270400508478804,47.136563876651984,2.9243755628644625
VIC,VIC,AM_LATE,price_volume_core,hist_gbm,304,81.0,1.5893843307110427,1.012507359262916,1.1177623546609536,1.1519834860184512,49.67105263157895,2.1783678502058232
VIC,VIC,PM_EARLY,price_volume_core,hist_gbm,228,81.0,1.298308381267053,0.9231975084870438,0.7963950137959115,0.9320016795242397,51.75438596491229,1.6861847387328992
VIC,VIC,PM_LATE,range_micro_volume,ridge,228,67.0,0.9174740636724853,0.732280333147986,0.7300291891495853,0.943196459008386,50.43859649122807,1.0377035368196066
VJC,VJC,AM_EARLY,price_volume_core,ridge,207,81.0,1.4174994254183972,0.8658020841506855,0.6668408100334708,0.7348181109618858,50.72463768115942,1.8396274204502627
VJC,VJC,AM_LATE,price_volume_core,hist_gbm,241,81.0,1.2716047158368389,0.8662716152229983,0.5800612597938707,0.7441030149977752,58.921161825726145,1.5929757773909232
VJC,VJC,PM_EARLY,price_volume_core,hist_gbm,220,81.0,1.0569296170491733,0.6934642779771939,0.47005338057150176,0.6371467888639423,60.45454545454545,1.1502080444717684
VJC,VJC,PM_LATE,range_micro_volume,ridge,207,67.0,0.9023135964485628,0.5964651002513635,0.4245543002700603,0.6612105185533685,56.52173913043478,0.9375062262095742
